period,trimethoprim_items,nitrofurantoin_items,all_items,trimethoprim_percent
2016-01-01 00:00:00.000000 UTC,296206,199167,495373,0.5979453866076674
2016-02-01 00:00:00.000000 UTC,288062,198433,486495,0.5921170823955025
2016-03-01 00:00:00.000000 UTC,294178,206221,500399,0.587886866280708
2016-04-01 00:00:00.000000 UTC,290297,209708,500005,0.5805881941180588
2016-05-01 00:00:00.000000 UTC,271856,201131,472987,0.574764211278534
2016-06-01 00:00:00.000000 UTC,288020,216548,504568,0.5708249433178482
2016-07-01 00:00:00.000000 UTC,283738,217699,501437,0.5658497478247516
2016-08-01 00:00:00.000000 UTC,291402,229419,520821,0.5595050890805094
2016-09-01 00:00:00.000000 UTC,302772,239454,542226,0.5583870932046785
2016-10-01 00:00:00.000000 UTC,287574,230197,517771,0.5554076995428481
2016-11-01 00:00:00.000000 UTC,287241,234218,521459,0.5508410057166527
2016-12-01 00:00:00.000000 UTC,279678,234988,514666,0.5434165070162008
2017-01-01 00:00:00.000000 UTC,279005,235260,514265,0.5425315741884048
2017-02-01 00:00:00.000000 UTC,250685,220865,471550,0.5316191284063195
2017-03-01 00:00:00.000000 UTC,277568,256526,534094,0.5196987796155733
2017-04-01 00:00:00.000000 UTC,223347,222452,445799,0.5010038156209413
2017-05-01 00:00:00.000000 UTC,236341,256755,493096,0.479300176841832
2017-06-01 00:00:00.000000 UTC,228298,276105,504403,0.45261031357862663
2017-07-01 00:00:00.000000 UTC,218137,290423,508560,0.42893070630800695
2017-08-01 00:00:00.000000 UTC,214981,307349,522330,0.4115808014090709
2017-09-01 00:00:00.000000 UTC,207988,307651,515639,0.4033597148392577
2017-10-01 00:00:00.000000 UTC,203764,322856,526620,0.3869279556416391
2017-11-01 00:00:00.000000 UTC,191931,313670,505601,0.3796096131138981
